Categoria_CEN,Empresa,Sigla,RUT,Oportunidad_Comercial
Generación,AASA ENERGÍA S.A.,AESA,76.479.110-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,ABASTIBLE S.A.,ASA,90.365.152-0,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,AESA,76.437.712-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ACIERTA ENERGÍA SPA,ACIERTAE,76.439.386-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,AELA GENERACIÓN S.A.,AGSA,76.403.193-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,AES ANDES S.A.,AASA,94.272.000-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,AGGREKO CHILE LIMITADA,AGGREKO,76.746.569-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,AGROCOMERCIAL A.S. LTDA.,AAS,90.386.585-7,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,AGROSOLAR IV SPA,AGROSOLA,90.039.623-6,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,AGROSOLAR V SPA,AGROSOLA,90.219.573-4,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,AGRÍCOLA ANCALÍ LIMITADA,AGRCOLA,90.019.344-0,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,AGUAS ANDINAS S.A.,AASA,90.723.954-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
