Empresa,RUT,Sector,Planta,Region,Comuna,Proceso_Critico,Oportunidad_Control,Oportunidad_Instrumentacion,Oportunidad_Electrica,Pagina_Web,LinkedIn,Email,Sucursales
Industrias Chilenas de Alambre S.A. (Inchalam),91.868.000-4,Siderúrgica y Metalmecánica,Planta Talcahuano,Biobío,Talcahuano,"Trefilado de alambre de acero de alta y baja resistencia, decapado químico, galvanizado por inmersión en caliente.",Lazos de control PID para hornos de recocido; control de velocidad en bobinadores de alambre mediante PLC/HMI.,Sensores de pH y conductividad para baños de decapado; termocuplas de alta temperatura para crisoles de zinc fundido.,Variadores de frecuencia (VFD) para trefiladoras; motores de eficiencia Premium; celdas de media tensión.,https://www.inchalam.cl,https://www.linkedin.com/company/inchalam/,contacto@inchalam.cl,3
Moly-Cop Chile S.A.,92.244.000-K,Siderúrgica y Metalmecánica,Planta Talcahuano,Biobío,Talcahuano,"Calentamiento por inducción eléctrica, forjado continuo de bolas de acero para molienda de mineral y tratamiento térmico de temple.",Integración de hornos de inducción con PLCs; algoritmos avanzados de control de temple rápido; sistemas SCADA centralizados.,Pirómetros ópticos e infrarrojos para hornos de inducción; flujómetros magnéticos de enfriamiento.,VFDs de alta potencia; celdas de media tensión con filtros de armónicos activos para hornos de inducción.,https://www.molycop.cl,https://www.linkedin.com/company/molycop-chile/,ventas@molycop.cl,3
Moly-Cop Chile S.A.,92.244.000-K,Siderúrgica y Metalmecánica,Planta Mejillones,Antofagasta,Mejillones,Forjado y tratamiento térmico de bolas de acero de gran diámetro para la gran minería del norte.,Monitoreo HMI local de líneas de temple; control distribuido de agua de enfriamiento mediante PLC redundantes.,Termómetros infrarrojos de banda estrecha; transmisores de presión en tuberías de alta presión de enfriamiento.,Tableros de fuerza y control; partidores suaves de motores de bombas de alta presión.,https://www.molycop.cl,https://www.linkedin.com/company/molycop-chile/,ventasmejillones@molycop.cl,3
Aceros AZA S.A.,92.176.000-0,Siderúrgica y Metalmecánica,Planta Colina,Metropolitana,Colina,Fusión de chatarra en horno de arco eléctrico (EAF) y laminación continua de barras de refuerzo y perfiles.,PLC para trenes de laminación con sincronización de velocidad fina; control del electrodo del EAF; integración SCADA-MES.,Transmisores de presión diferencial para filtros de mangas; termocuplas tipo B y S para acero líquido.,Transformadores de horno; bancos de capacitores activos; VFDs de gran capacidad para motores de laminador.,https://www.aza.cl,https://www.linkedin.com/company/aceros-aza-s-a-/,contacto@aza.cl,4
Aceros AZA S.A.,92.176.000-0,Siderúrgica y Metalmecánica,Planta Renca,Metropolitana,Renca,"Fabricación de perfiles livianos de acero, enderezado y corte a medida continuo.",Control automático de corte por cizalla volante con PLCs de alta velocidad; pantallas HMI de operación.,Sensores de proximidad inductivos para alta temperatura; encoders para medición de longitud lineal.,Servomotores de posicionamiento rápido; VFDs de media potencia; tableros de distribución auxiliar.,https://www.aza.cl,https://www.linkedin.com/company/aceros-aza-s-a-/,contactorenca@aza.cl,4
Compañía Siderúrgica Huachipato S.A. (CAP),94.637.000-2,Siderúrgica y Metalmecánica,Siderúrgica Huachipato,Biobío,Talcahuano,"Reducción en Alto Horno, refinación en acería de oxígeno (LD) y laminación en caliente de barras para forja.",DCS para dosificación de coque y mineral en Alto Horno; SIS certificado SIL3 para parada de emergencia por gas de alto horno.,Analizadores de combustión; medidores de flujo Coriolis para combustibles líquidos; pirómetros infrarrojos.,Transformadores de gran potencia; subestaciones encapsuladas GIS; variadores de frecuencia de media tensión.,https://www.capacero.cl,https://www.linkedin.com/company/siderurgicahuachipato/,contacto@huachipato.cl,2
Indura S.A. (Air Products),76.150.343-K,Siderúrgica y Metalmecánica,Planta Gases Industriales Lampa,Metropolitana,Lampa,"Fraccionamiento criogénico de aire atmosférico para la producción de oxígeno, nitrógeno y argón líquido.",DCS continuo para columnas de destilación criogénica; lazos de control de presión y temperatura extrema.,Analizadores de pureza de gas en línea; transmisores de presión de alta precisión; medidores de nivel criogénicos.,Motores síncronos de gran potencia para compresores de aire; arrancadores suaves y celdas de media tensión.,https://www.indura.cl,https://www.linkedin.com/company/indura/,contacto@indura.cl,15
Compañía Electro Metalúrgica S.A. (Elecmetal),90.095.000-4,Siderúrgica y Metalmecánica,Fundición Santiago,Metropolitana,Estación Central,Fusión en hornos de arco de aceros aleados y tratamiento térmico de temple/revenido para revestimientos de molino minero.,Control de hornos mediante PLCs; SCADA HMI para monitoreo del ciclo de tratamiento térmico; control PID de quemadores.,Termocuplas desechables para cuchara de fundición; pirómetros ópticos; caudalímetros de gas natural.,Transformadores industriales; VFDs para extractores de gases; tableros de transferencia de potencia.,https://www.me-elecmetal.com,https://www.linkedin.com/company/me-elecmetal/,contacto@me-elecmetal.com,5
Fundición Talleres Ltda.,96.505.020-5,Siderúrgica y Metalmecánica,Fundición Graneros,O'Higgins,Graneros,"Moldeo y fundición de piezas metálicas complejas, mecanizado de precisión de bolas y piezas de desgaste minero.",Automatización del mezclado de arena de moldeo; automatización del control del horno de inducción por PLC.,Celdas de carga en tolvas de aditivos; sensores de temperatura infrarrojos en vertido de metal líquido.,Variadores de velocidad en mezcladoras; motores eléctricos eficientes; tableros de distribución general.,https://www.fundiciontalleres.cl,https://www.linkedin.com/company/fundicion-talleres-limitada/,contacto@fundiciontalleres.cl,1
Cintac S.A.,90.134.000-5,Siderúrgica y Metalmecánica,Planta Maipú,Metropolitana,Maipú,Conformado y perfilado de acero en frío para tubos estructurales y cubiertas de acero galvanizado.,Sistemas de sincronización de velocidad PLC-HMI en trenes de conformado rápido de rodillos continuos; corte volante.,Encoders ópticos e inductivos; barreras de seguridad optoelectrónicas para resguardo de operadores.,VFDs acoplados en bus de continua; motores trifásicos estándar; celdas de distribución de baja tensión.,https://www.cintac.cl,https://www.linkedin.com/company/cintac-s-a-/,ventas@cintac.cl,3
