Categoria,Nombre_Equipo,Fabricante,Cantidad_Unidades,Protocolo,Descripcion,Etiquetas_Plano
Controladores (PLCs y CPUs),Modicon M580 CPU (BMEP584040),Schneider Electric,2,"Modbus TCP, EtherNet/IP",Controlador principal de alta gama para la zona de procesos H9 (Nivel 4).,BMP584040; PLC M580 LEVEL4
Controladores (PLCs y CPUs),Modicon PLC (Alimentación H9),Schneider Electric,2,Modbus TCP,Controlador para la dosificación y alimentación del horno en H9.,PLC ALIMH9; PLC ALIMH9  NOC0301
Controladores (PLCs y CPUs),Modicon PLC (Combustibles Alternativos),Schneider Electric,1,Modbus TCP,Controlador para el sistema de inyección y dosificación de combustibles alternativos.,PLC COMBALT  NOC0301
Controladores (PLCs y CPUs),Modicon PLC (Envasadora 1),Schneider Electric,2,Modbus TCP,Controlador para la línea de ensacado y envasado de cemento 1 (ENV1).,PLC ENV1; PLC ENV1  NOE 77100
Controladores (PLCs y CPUs),Modicon PLC (Envasadora 2 / Silo 28),Schneider Electric,2,Modbus TCP,Controlador para la línea de envasado 2 y despacho desde el Silo 28.,PLC ENV2  NOE 77100; PLC ENV2 SILO28
Controladores (PLCs y CPUs),Modicon PLC (H9),Schneider Electric,2,"Modbus TCP, EtherNet/IP","Controlador para el área H9, en proceso de migración o rack principal.",PLC H9; PLC H9  NOC 0301
Controladores (PLCs y CPUs),Modicon PLC (Medidores LCA),Schneider Electric,3,"Modbus TCP, Ethernet IP",Controlador concentrador de telemetría de medidores eléctricos de La Calera.,PLC MEDIDORS; PLC MEDIDORS  NOE77100 MEDIDORS; PLC MEDIDORS  NOE77101 CONTROL
Controladores (PLCs y CPUs),Modicon PLC (Molino 17),Schneider Electric,2,Modbus TCP,Controlador encargado del molino de cemento M17.,PLC M17; PLC M17  CRP 31200
Controladores (PLCs y CPUs),Modicon PLC (Molinos 18 y 19),Schneider Electric,2,Modbus TCP,Controlador encargado de las operaciones de los molinos de cemento M18 y M19.,PLC M18-M19; PLC M18-M19  NOC 0301
Controladores (PLCs y CPUs),Modicon PLC (Silos 2000),Schneider Electric,2,Modbus TCP,Controlador para el almacenamiento y despacho de cemento en Silos 2000.,PLC SILOS2000; PLC SILOS2000  NOE 77100
Controladores (PLCs y CPUs),Modicon PLC (Válvulas Silos 3000),Schneider Electric,1,Modbus TCP,Controlador para el direccionamiento y válvulas de los Silos 3000.,PLC VV-S3000  NOE 77100
Controladores (PLCs y CPUs),Modicon Quantum CPU (140CPU53414),Schneider Electric,1,"Modbus TCP, Modbus Plus/RIO","Controlador de proceso heredado Quantum, CPU serie 534.",PLC 140CPU534
Controladores (PLCs y CPUs),Modicon Quantum CPU (140CPU65150),Schneider Electric,1,"Modbus TCP, Profibus DP",Controlador de proceso heredado (Quantum) para el Molino de Cemento 21 (M21).,140CPU65150
Controladores (PLCs y CPUs),Modicon Quantum CPU (140CPU65160),Schneider Electric,1,"Modbus TCP, Profibus DP",Controlador de proceso heredado (Quantum) para el Molino de Cemento 22 (M22).,140CPU65160
Instrumentación de Proceso y Analizadores,Analizador Continuo de Gases de Chimenea CEMS (ACF5000),ABB,2,Modbus TCP / Analógico,Analizador CEMS multi-gas FTIR de alta fidelidad para el monitoreo de emisiones en la chimenea del precalentador.,ACF5000 ABB; CEMS
